EF,ACC,page,author,year,experiment,family,genus,species,variety,plant_type,plant_type_2,plant_type_3,diversity_type,plant_quality_type,defence_type_specific,trait_category,structure,experiment_type,study_type,plant_lifestage,shade_tolerance,plant_lifestage_2,plant_age,diversity_level,latitude,biome_type,Nfixing,broadleaf_conifer_mix,forb_legume_grass_mix,density,PD,PD2,SR,X_control,SE_control,SD_control,N_control,X_mixture,SE_control.1,SD_mixture,N_mixture,data_source,notes,yi,vi
ef12,1,12,"Walter, J",2012,EVENT I experiment,Poaceae,Holcus,Holcus lanatus,NA,herbacious,grass,grass,species,nutrient,protein,protein,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,50,temperate,N-fixing neighbours,NA,Y,NA,0.549,0.451,4,3.716,0.36,0.805,5,4.214,0.4,0.894,5,fig 3,"2 grass, 1 herb, 1 legume",0.528464669,0.413963745
ef13,2,1,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,nutrient,N,N,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,2,3.605,0.2,0.4,4,2.14,0.16,0.554,12,fig 3,average value across all different 2 species mixtures,-2.638717337,0.550921745
ef14,2,1,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,nutrient,N,N,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,3,3.605,0.2,0.4,4,1.995,0.13,0.39,9,fig 3,,-3.812159568,0.920055749
ef15,2,2,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,nutrient,N,N,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,5,3.605,0.2,0.4,4,1.879,0.09,0.298,11,fig 3,,-5.00661967,1.176450441
ef16,2,3,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,nutrient,N,N,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,N-fixing neighbours,NA,Y,NA,NA,NA,10,3.605,0.2,0.4,4,1.782,0.16,0.277,3,fig 3,,-4.306048862,1.907765962
ef17,2,4,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,nutrient,N,N,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,2,2.353,0.22,0.44,4,1.768,0.13,0.45,12,fig 3,,-1.234702008,0.380973616
ef18,2,4,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,nutrient,N,N,leaf,field,experimental,reproductive,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,3,2.353,0.22,0.44,4,1.828,0.18,0.54,9,fig 3,,-0.94864749,0.395723883
ef19,2,5,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,nutrient,N,N,leaf,field,experimental,reproductive,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,5,2.353,0.22,0.44,4,1.61,0.13,0.431,11,fig 3,,-1.61431639,0.427776338
ef20,2,6,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,nutrient,N,N,leaf,field,experimental,reproductive,intermediate,NA,NA,plot,52,temperate,N-fixing neighbours,NA,Y,NA,NA,NA,10,2.353,0.22,0.44,4,1.828,0.16,0.277,3,fig 3,,-1.15182409,0.678097529
ef21,2,7,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,chemical,pyrrolizidine alkaloids,alkaloids,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,2,3.988,0.31,0.62,4,3.342,0.44,1.524,12,fig 4,,-0.442173218,0.339443244
ef22,2,7,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,chemical,pyrrolizidine alkaloids,alkaloids,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,3,3.988,0.31,0.62,4,2.601,0.42,1.26,9,fig 4,,-1.149342304,0.411918332
ef23,2,8,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,chemical,pyrrolizidine alkaloids,alkaloids,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,5,3.988,0.31,0.62,4,2.662,0.23,0.763,11,fig 4,,-1.703444744,0.437633224
ef24,2,9,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,chemical,pyrrolizidine alkaloids,alkaloids,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,N-fixing neighbours,NA,Y,NA,NA,NA,10,3.342,0.44,0.88,4,2.42,0.39,0.675,3,fig 4,,-0.96378885,0.649682544
ef25,2,7,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,chemical,pyrrolizidine alkaloids,alkaloids,leaf,field,experimental,vegatative ,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,2,6.356,0.75,1.5,4,4.159,0.74,2.563,12,fig 4,,-0.874220024,0.357216479
ef26,2,10,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,chemical,pyrrolizidine alkaloids,alkaloids,leaf,field,experimental,reproductive,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,3,6.356,0.75,1.5,4,4.537,0.73,2.19,9,fig 4,,-0.83524609,0.387943266
ef27,2,11,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,chemical,pyrrolizidine alkaloids,alkaloids,leaf,field,experimental,reproductive,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,NA,NA,NA,NA,5,6.356,0.75,1.5,4,4.038,0.77,2.554,11,fig 4,,-0.92696482,0.369551217
ef28,2,12,"Kostenko, O ",2017,Ede,Asteraceae,Jacobea,Jacobaea vulgaris,NA,herbacious,forb,forb,species,chemical,pyrrolizidine alkaloids,alkaloids,leaf,field,experimental,reproductive,intermediate,NA,NA,plot,52,temperate,No N-fixing neighbours,NA,Y,NA,NA,NA,10,6.356,0.75,1.5,4,3.539,0.56,0.97,3,fig 4,,-1.802550165,0.815418126
ef29,3,1,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,N,NA,0.42,0.981,0.019,2,0.118,N/A,0.006,3,0.109,N/A,0.01,2,supplimentary info,Unthinned BA,-0.860078764,0.907306881
ef30,3,2,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.654,0.346,3,0.118,N/A,0.006,3,0.107,N/A,0.026,3,supplimentary info,Unthinned LBA,-0.465165769,0.684698266
ef31,3,3,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.5,0.5,2,0.118,N/A,0.006,3,0.105,N/A,0.016,2,supplimentary info,Unthinned PB,-0.899635053,0.914267656
ef32,3,4,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.654,0.346,3,0.118,N/A,0.006,3,0.115,N/A,0.02,3,supplimentary info,Unthinned PBA,-0.162118684,0.668856872
ef33,3,5,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.333,0.667,3,0.118,N/A,0.006,3,0.107,N/A,0.03,3,supplimentary info,Unthinned PLB,-0.405704496,0.680383011
ef34,3,6,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.333,0.667,3,0.118,N/A,0.006,3,0.12,N/A,0.014,3,supplimentary info,Unthinned PSB,0.148163443,0.668496034
ef35,3,7,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.392,0.608,5,0.118,N/A,0.006,3,0.12,N/A,0.028,2,supplimentary info,Unthinned PSLBA,0.085674791,0.83406735
ef36,3,8,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.5,0.5,2,0.118,N/A,0.006,3,0.119,N/A,0.003,3,supplimentary info,Unthinned SB,0.168208835,0.669024518
ef37,3,9,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,N,NA,0.21,0.981,0.019,2,0.129,N/A,0.016,3,0.101,N/A,0.029,2,supplimentary info,Thinned BA,-0.954045465,0.924353608
ef38,3,10,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.21,0.654,0.346,3,0.129,N/A,0.016,3,0.103,N/A,0,2,supplimentary info,Thinned LBA,-1.440118754,1.040727536
ef39,3,11,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.21,0.5,0.5,2,0.129,N/A,0.016,3,0.108,N/A,0.027,3,supplimentary info,Thinned PB,-0.755016145,0.714170782
ef40,3,12,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.21,0.654,0.346,3,0.129,N/A,0.016,3,0.109,N/A,0.023,2,supplimentary info,Thinned PBA,-0.776899012,0.893690541
ef41,3,13,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.21,0.333,0.667,3,0.129,N/A,0.016,3,0.103,N/A,0.027,3,supplimentary info,Thinned PLB,-0.934781894,0.739484766
ef42,3,14,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.21,0.333,0.667,3,0.129,N/A,0.016,3,0.125,N/A,0.009,2,supplimentary info,Thinned PSB,-0.205869772,0.83757157
ef43,3,15,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.21,0.392,0.608,5,0.129,N/A,0.016,3,0.123,N/A,0.007,2,supplimentary info,Thinned PSLBA,-0.317489786,0.84341331
ef44,3,16,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,toughness,toughness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.21,0.5,0.5,2,0.129,N/A,0.016,3,0.131,N/A,0.022,2,supplimentary info,Thinned SB,0.079425556,0.833964175
ef45,3,17,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,N,NA,0.42,0.981,0.019,2,0.173,N/A,0.023,3,0.175,N/A,0.024,2,supplimentary info,Unthinned BA,0.062010311,0.833717861
ef46,3,18,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.654,0.346,3,0.173,N/A,0.023,3,0.176,N/A,0.017,3,supplimentary info,Unthinned LBA,0.118358557,0.667834062
ef47,3,19,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.5,0.5,2,0.173,N/A,0.023,3,0.165,N/A,0.02,2,supplimentary info,Unthinned PB,-0.262585756,0.840228461
ef48,3,20,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.654,0.346,3,0.173,N/A,0.023,3,0.169,N/A,0.02,3,supplimentary info,Unthinned PBA,-0.148083678,0.668494065
ef49,3,21,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.333,0.667,3,0.173,N/A,0.023,3,0.171,N/A,0.012,3,supplimentary info,Unthinned PLB,-0.086991641,0.667297295
ef50,3,22,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.333,0.667,3,0.173,N/A,0.023,3,0.174,N/A,0.02,3,supplimentary info,Unthinned PSB,0.03702092,0.666780879
ef51,3,23,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.392,0.608,5,0.173,N/A,0.023,3,0.179,N/A,0.005,2,supplimentary info,Unthinned PSLBA,0.228505659,0.838554817
ef52,3,24,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.5,0.5,2,0.173,N/A,0.023,3,0.179,N/A,0.025,3,supplimentary info,Unthinned SB,0.199298213,0.669976648
ef53,3,25,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,N,NA,0.21,0.981,0.019,2,0.213,N/A,0.043,3,0.202,N/A,0.02,2,supplimentary info,Thinned BA,-0.215360795,0.837971361
ef54,3,26,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.21,0.654,0.346,3,0.213,N/A,0.043,3,0.172,N/A,0.021,2,supplimentary info,Thinned LBA,-0.7987228,0.897129145
ef55,3,27,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.21,0.5,0.5,2,0.213,N/A,0.043,3,0.181,N/A,0.02,3,supplimentary info,Thinned PB,-0.761395507,0.714976927
ef56,3,28,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.21,0.654,0.346,3,0.213,N/A,0.043,3,0.212,N/A,0.035,2,supplimentary info,Thinned PBA,-0.017862614,0.833365241
ef57,3,29,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.21,0.333,0.667,3,0.213,N/A,0.043,3,0.191,N/A,0.025,3,supplimentary info,Thinned PLB,-0.499088879,0.687424142
ef58,3,30,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.21,0.333,0.667,3,0.213,N/A,0.043,3,0.193,N/A,0.039,2,supplimentary info,Thinned PSB,-0.346973483,0.845372393
ef59,3,31,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.21,0.392,0.608,5,0.213,N/A,0.043,3,0.206,N/A,0.039,2,supplimentary info,Thinned PSLBA,-0.121440719,0.834808118
ef60,3,32,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,thickness,thickness,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.21,0.5,0.5,2,0.213,N/A,0.043,3,0.203,N/A,0.053,2,supplimentary info,Thinned SB,-0.155370848,0.835747343
ef61,3,33,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,N,NA,0.42,0.981,0.019,2,396.77,N/A,12.133,3,375.921,N/A,9.207,2,supplimentary info,Unthinned BA,-1.341892561,1.013400898
ef62,3,34,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.654,0.346,3,396.77,N/A,12.133,3,388.206,N/A,19.975,3,supplimentary info,Unthinned LBA,-0.413477393,0.68091363
ef63,3,35,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.5,0.5,2,396.77,N/A,12.133,3,389.029,N/A,8.592,2,supplimentary info,Unthinned PB,-0.505580644,0.858894512
ef64,3,36,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.654,0.346,3,396.77,N/A,12.133,3,386.697,N/A,16.864,3,supplimentary info,Unthinned PBA,-0.547105486,0.691610368
ef65,3,37,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.333,0.667,3,396.77,N/A,12.133,3,389.274,N/A,18.563,3,supplimentary info,Unthinned PLB,-0.381410578,0.678789502
ef66,3,38,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.333,0.667,3,396.77,N/A,12.133,3,386.776,N/A,10.57,3,supplimentary info,Unthinned PSB,-0.700808516,0.707594381
ef67,3,39,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,N-fixing neighbours,Y,NA,0.42,0.392,0.608,5,396.77,N/A,12.133,3,399.656,N/A,21.849,2,supplimentary info,Unthinned PSLBA,0.130198023,0.835028486
ef68,3,40,"Muiruri, E",2019,Satakunta,Betulaceae,Betula,Betula pendula,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,field,experimental,adult?,intolerant,mature,16,plot,61,boreal,No N-fixing neighbours,Y,NA,0.42,0.5,0.5,2,396.77,N/A,12.133,3,408.684,N/A,23.236,3,supplimentary info,Unthinned SB,0.512856569,0.688585155
